feature_set,forward_window,regression_bucket,observations,test_years,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
financial_price,fwd_3m_return,large_cap,2336,12,-0.05221953466348572,0.02580597985593487,0.005486221484752977,0.058756576567342386,0.0447437281512601,0.6004273504273504,0.042660633350125335,0.01609594321721705
price_only,fwd_3m_return,large_cap,2336,12,-0.017630593482008683,0.06641245676947252,0.027306376134644383,0.09231090271164329,0.0722267245920862,0.6752136752136753,0.04735981614947645,0.044951086562166835
quality_growth_price,fwd_3m_return,large_cap,2336,12,-0.042930621339246855,0.053184836744354494,0.04338130117575142,0.07834151068145748,0.060448464361226154,0.6324786324786325,0.04078847924811679,0.03755303143334069
rich_fundamental,fwd_3m_return,large_cap,2336,12,-0.07568034480611785,-0.026408655681374814,-0.04806546385765394,0.0461680778837883,0.0295862056421565,0.5683760683760684,0.053111069364559796,-0.006942991480771495
rich_fundamental_price,fwd_3m_return,large_cap,2336,12,-0.11126880456398491,-0.02594638887227104,-0.04133021096710537,0.0455878321877741,0.02766640555672345,0.5491452991452992,0.05203602849464783,-0.006448196306873731
financial_price,fwd_3m_return,mid_cap,2559,12,-0.07564755730402717,-0.02569969554913278,-0.031051825090491456,0.041372465786044706,0.016194004117224,0.55078125,0.0414022080336462,-2.9742247601494132e-05
price_only,fwd_3m_return,mid_cap,2559,12,-0.047092467045341646,-0.008152682965484359,-0.004108457238720535,0.05024617907636251,0.04404533798516305,0.6015625,0.03753733780063074,0.01270884127573177
quality_growth_price,fwd_3m_return,mid_cap,2559,12,-0.03441803503713947,0.06125531554126856,0.06963007178362347,0.048070481855587245,0.031186833333274048,0.60546875,0.02637246822946546,0.021698013626121785
rich_fundamental,fwd_3m_return,mid_cap,2559,12,-0.10227011716547696,-0.039841214142545336,-0.06457728983687686,0.02392747924348452,0.01256126711990585,0.541015625,0.04120368061833715,-0.017276201374852633
rich_fundamental_price,fwd_3m_return,mid_cap,2559,12,-0.11905133010484059,-0.03385728170821291,-0.04472837941125788,0.03418720236117513,0.01391245910439415,0.544921875,0.036707102659418483,-0.002519900298243352
financial_price,fwd_6m_return,all,5080,11,-0.042913096824327646,0.05013830178391782,-0.04774972745704032,0.11668784535761666,0.059566214467247955,0.5885826771653543,0.0902271262455511,0.02646071911206556
price_only,fwd_6m_return,all,5080,11,-0.023280216878082793,0.06920322984004616,-0.05594934519861729,0.13658441052667739,0.0986771980352715,0.6358267716535433,0.09208127737909551,0.04450313314758188
quality_growth_price,fwd_6m_return,all,5080,11,-0.04146886404594796,0.06780768349570364,0.004040420057288282,0.1276962050720092,0.0784659113179363,0.6338582677165354,0.06864589872591143,0.059050306346097786
