observations,test_years,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean,feature_set,transform,training_mode,test_year
212,1,-0.4738466195188358,-0.10025276121431785,-0.13629213355785252,0.5848617049148199,0.4644503716298338,0.9069767441860465,0.7749655631028419,-0.190103858188022,price_only,rank,expanding,2020
211,1,0.0009810138459932505,0.07025967454759836,0.06667262809621748,0.14298296293723645,0.1533927918032482,0.6744186046511628,0.08970811745160688,0.053274845485629566,price_only,rank,expanding,2021
218,1,-1.7380438465195147,-0.11051460876152051,-0.11994018540901584,-0.02721577202782832,-0.05317257204001165,0.38636363636363635,0.033041853049145226,-0.06025762507697355,price_only,rank,expanding,2022
224,1,-0.02711695263031877,0.12444212119004631,0.21598334401024985,0.5715956285602501,0.3878247547943312,0.9777777777777777,0.25289490040089496,0.3187007281593552,price_only,rank,expanding,2023
224,1,-0.03741290187546653,0.08890447586872724,-0.03225923553277814,0.21834442368730708,0.1221709869690179,0.5777777777777777,0.18276365639544032,0.035580767291866766,price_only,rank,expanding,2024
189,1,0.10247259898251293,0.3752510374373308,0.40941182744094284,0.740687232147079,0.46830367302816434,0.9473684210526315,0.08690718859970746,0.6537800435473715,price_only,rank,expanding,2025
201,1,-0.08557016399668282,0.18064402740458438,0.03922269838924191,0.39221061455836026,0.2366305512309874,0.8048780487804879,0.2698237701813003,0.12238684437705993,price_only,rank,rolling_2y,2016
204,1,-0.18798680079992103,0.10990119242439096,0.10686616109858578,0.20630336547761435,0.1784449665714715,0.8292682926829268,0.14494150290488955,0.0613618625727248,price_only,rank,rolling_2y,2017
207,1,-0.3245814049834179,-0.0021514560113580585,-0.048405688865798616,0.18150529111131755,0.13547392139009215,0.6190476190476191,0.16459027527472397,0.016915015836593578,price_only,rank,rolling_2y,2018
211,1,-0.4858113666083126,0.08908533629156673,0.09390273501871463,0.00011858117392834527,-0.001233468886325,0.4883720930232558,-0.060228134322105664,0.06034671549603401,price_only,rank,rolling_2y,2019
212,1,-0.5188554774010072,0.05018491255113451,0.166137484839287,0.7995253855985752,0.7264985385215825,1.0,0.7042007963828676,0.09532458921570763,price_only,rank,rolling_2y,2020
211,1,-0.09225650909430438,0.06435894012278161,0.06742121332124015,0.14629188922982805,0.1533927918032482,0.6976744186046512,0.056230778806051616,0.09006111042377643,price_only,rank,rolling_2y,2021
218,1,-3.7478361707378527,-0.18149657994709947,-0.08975142311583749,-0.049363823334175855,-0.07662577335440075,0.36363636363636365,0.02097338981832222,-0.07033721315249808,price_only,rank,rolling_2y,2022
224,1,-0.14937314182989736,0.20418335555605427,0.22586696562032887,0.6319499580644993,0.311727923364159,0.8888888888888888,0.20598396573589342,0.4259659923286059,price_only,rank,rolling_2y,2023
224,1,-0.21075482956236757,-0.09576290913930445,0.03297672432201581,0.19569499037534602,0.1698464631744773,0.8666666666666667,0.19688681661636898,-0.0011918262410229585,price_only,rank,rolling_2y,2024
189,1,0.06633245211025518,0.35950680840829985,0.35850263957766765,0.5056469798003164,0.42992573564598224,0.868421052631579,0.06190577478754644,0.4437412050127699,price_only,rank,rolling_2y,2025
201,1,-0.08557016399668282,0.18064402740458438,0.03922269838924191,0.39221061455836026,0.2366305512309874,0.8048780487804879,0.2698237701813003,0.12238684437705993,price_only,rank,rolling_3y,2016
204,1,-0.0214435859173161,0.19362011097839768,0.22736004410174498,0.24791249340423047,0.2243824720897134,0.8048780487804879,0.09062474677639139,0.15728774662783906,price_only,rank,rolling_3y,2017
207,1,-0.02688195169277874,0.04368168005203242,-0.02106671645506597,0.20979563202224558,0.18437668609340707,0.6904761904761905,0.1707013301553951,0.03909430186685048,price_only,rank,rolling_3y,2018
211,1,-0.8141818336885729,0.1070013800868256,0.08792171791367,0.06131137247240892,0.055930923620709,0.5581395348837209,0.011448438383823228,0.04986293408858569,price_only,rank,rolling_3y,2019
212,1,-0.5858331828091372,-0.2782836799173047,-0.29686785651762676,0.515229240725052,0.3889206799974467,0.9302325581395349,1.0370479407719684,-0.5218187000469163,price_only,rank,rolling_3y,2020
211,1,-0.12398716881297056,-0.08292419713904998,-0.06144402856376388,0.12147419055723344,0.0749625123820347,0.627906976744186,0.21213930216343282,-0.09066511160619939,price_only,rank,rolling_3y,2021
218,1,-2.7649737210263337,-0.21024578890779705,-0.1637934080011861,-0.07495965929421405,-0.0867427002354586,0.3409090909090909,0.030801170891234353,-0.1057608301854484,price_only,rank,rolling_3y,2022
224,1,0.10074318331808019,0.3451587804706613,0.20016869528080294,0.8532798519901021,0.4869637454359561,0.9111111111111111,0.29020082746484277,0.5630790245252594,price_only,rank,rolling_3y,2023
224,1,-0.07010426427870486,0.06825522459428375,-0.018272474909246213,0.3225133971073777,0.1568137020401119,0.6666666666666666,0.1962718670790539,0.1262415300283238,price_only,rank,rolling_3y,2024
189,1,-0.033048122751603515,0.15999306804426208,0.172066691551574,0.4234164173384003,0.28659814331771105,0.7894736842105263,0.1867561306138061,0.2366602867245942,price_only,rank,rolling_3y,2025
201,1,-0.08557016399668282,0.18064402740458438,0.03922269838924191,0.39221061455836026,0.2366305512309874,0.8048780487804879,0.2698237701813003,0.12238684437705993,price_only,rank,rolling_5y,2016
204,1,-0.0214435859173161,0.19362011097839768,0.22736004410174498,0.24791249340423047,0.2243824720897134,0.8048780487804879,0.09062474677639139,0.15728774662783906,price_only,rank,rolling_5y,2017
207,1,-0.025492931434700772,0.026287870815346566,-0.01584028747388815,0.2220972445289877,0.19270021614113514,0.6666666666666666,0.1560879096229027,0.06600933490608499,price_only,rank,rolling_5y,2018
211,1,-0.5103364832482487,0.026384263247361494,0.02033060385023186,0.0026575341104396254,0.0164466396122093,0.5348837209302325,-0.03506818536529508,0.037725719475734706,price_only,rank,rolling_5y,2019
212,1,-0.4610056323443201,-0.08422088545068518,-0.10757777461514144,0.5860098130184085,0.4952160479738532,0.9069767441860465,0.6823881317525182,-0.09637831873410974,price_only,rank,rolling_5y,2020
211,1,-0.02565056044043401,0.0020932560131066823,-0.0006387245947292448,0.15906198788766013,0.1477274287487402,0.6744186046511628,0.2002182272161386,-0.04115623932847848,price_only,rank,rolling_5y,2021
218,1,-2.259974139779744,-0.15755393272676801,-0.15401388453722167,-0.03383876658725618,-0.06500883509230346,0.38636363636363635,0.03689221648598318,-0.07073098307323936,price_only,rank,rolling_5y,2022
224,1,-0.014723221367853423,0.20932653259887168,0.23847320093956867,0.5333342832839365,0.3759654980891707,0.9555555555555556,0.24473045922550485,0.28860382405843166,price_only,rank,rolling_5y,2023
224,1,-0.10520387855868463,0.13724896273912754,-0.0408989963698484,0.3148763392285661,0.0608281093337275,0.5333333333333333,0.194141574749823,0.12073476447874312,price_only,rank,rolling_5y,2024
189,1,0.16027159709909622,0.40633130683228175,0.408983451536643,0.7552679545570448,0.48366491570356585,0.9210526315789473,0.06380935190922361,0.6914586026478211,price_only,rank,rolling_5y,2025
201,1,-0.05740567155603049,0.13187197387511723,0.012667360967697393,0.36907196690744337,0.2210606025324755,0.7804878048780488,0.2391800302121535,0.12989193669528987,price_only,robust_z,expanding,2016
204,1,-0.025155743965103117,0.12160991045411934,0.10593606660494308,0.16894501958354027,0.1967675044081935,0.7073170731707317,0.07478880850840817,0.0941562110751321,price_only,robust_z,expanding,2017
207,1,-0.07662831841388451,0.0026808773259974447,-0.08389209987985842,0.19440278825689616,0.13547392139009215,0.6428571428571429,0.19454493669531375,-0.00014214843841758862,price_only,robust_z,expanding,2018
211,1,-0.42558833421859443,0.12916463037320758,0.09006911000114971,0.025757270328816896,0.070050716107723,0.5581395348837209,-0.054762278701889634,0.08051954903070653,price_only,robust_z,expanding,2019
212,1,-0.3950361865858878,-0.11525843266537578,-0.15199630223440258,0.47478100064870143,0.4221674314064503,0.8837209302325582,0.850981255982457,-0.37620025533375556,price_only,robust_z,expanding,2020
211,1,0.022031635143026862,0.1831788948695217,0.18538725872178435,0.20207400783792762,0.1913443938786285,0.6511627906976745,0.05573847193022217,0.14633553590770546,price_only,robust_z,expanding,2021
218,1,-2.219263562494133,-0.28612153677203034,-0.18909762091055085,-0.060251913295662686,-0.0625833443774639,0.36363636363636365,0.040413457682354506,-0.1006653709780172,price_only,robust_z,expanding,2022
224,1,0.06520608587384069,0.3512671780847097,0.3298270339525946,0.9070403275104449,0.500841631485702,0.9333333333333333,0.2533781206361241,0.6536622068743209,price_only,robust_z,expanding,2023
224,1,0.0498036117488162,0.23892558424970717,0.0005797565663036516,0.36992763048115795,0.1433685792643453,0.6,0.1717502739236715,0.19817735655748644,price_only,robust_z,expanding,2024
189,1,0.17166007357630564,0.477603794043711,0.4289287047405749,0.7312164359557409,0.4819098399793216,0.9210526315789473,0.11350170153571525,0.6177147344200257,price_only,robust_z,expanding,2025
201,1,-0.05740567155603049,0.13187197387511723,0.012667360967697393,0.36907196690744337,0.2210606025324755,0.7804878048780488,0.2391800302121535,0.12989193669528987,price_only,robust_z,rolling_2y,2016
204,1,-0.2449039877612864,0.10609862127244436,0.08893427850534662,0.18495172563805828,0.1460785631202812,0.7804878048780488,0.11495336895544028,0.069998356682618,price_only,robust_z,rolling_2y,2017
207,1,-0.4304112061659533,-0.037209181565971056,-0.08592016538407421,0.16765188954332377,0.11917187075659691,0.5952380952380952,0.20842733414876286,-0.04077544460543908,price_only,robust_z,rolling_2y,2018
211,1,-0.4439805662848548,0.13200931143884084,0.16148490693782658,0.053853471759731895,0.0292933730849387,0.6046511627906976,-0.03384354611485605,0.08769701787458795,price_only,robust_z,rolling_2y,2019
212,1,-0.5411804141089642,-0.05344909893170708,0.047766164185326566,0.7268178256276593,0.6180069740130776,1.0,0.8852634014892168,-0.1584455758615575,price_only,robust_z,rolling_2y,2020
211,1,-0.12779258943196936,-0.028854545560214953,-0.009923225303713546,0.14575351325529723,0.1477274287487402,0.6744186046511628,0.2023708419644757,-0.05661732870917846,price_only,robust_z,rolling_2y,2021
218,1,-3.555987225996117,-0.19924693448592756,-0.09806338099543108,-0.02546174165238583,-0.0419339630922859,0.4090909090909091,0.016293134637702766,-0.041754876290088595,price_only,robust_z,rolling_2y,2022
224,1,-0.1856751999449726,0.05461578597562099,0.050016015374759776,0.5356058813460584,0.2942508143372535,0.8888888888888888,0.6213772641673178,-0.0857713828212594,price_only,robust_z,rolling_2y,2023
224,1,-0.3455909403059434,-0.21718782107719062,0.08579543027973524,0.19935053701397057,0.179774312913874,0.8444444444444444,0.3102919338727747,-0.11094139685880414,price_only,robust_z,rolling_2y,2024
189,1,0.1618899122940456,0.5054161045872256,0.3751648625108872,0.845862078311476,0.6439057293977317,0.9473684210526315,0.11689106855916251,0.7289710097523134,price_only,robust_z,rolling_2y,2025
201,1,-0.05740567155603049,0.13187197387511723,0.012667360967697393,0.36907196690744337,0.2210606025324755,0.7804878048780488,0.2391800302121535,0.12989193669528987,price_only,robust_z,rolling_3y,2016
204,1,-0.025155743965103117,0.12160991045411934,0.10593606660494308,0.16894501958354027,0.1967675044081935,0.7073170731707317,0.07478880850840817,0.0941562110751321,price_only,robust_z,rolling_3y,2017
207,1,-0.1313602964976126,0.0022739628186451556,-0.08281921399270492,0.20417247675775355,0.14186319151468715,0.6666666666666666,0.21975878711315988,-0.015586310355406335,price_only,robust_z,rolling_3y,2018
211,1,-0.8315333515280339,0.14399206742155726,0.12582363536490337,0.04250067596546359,0.0232722942947114,0.5581395348837209,-0.024699529353563187,0.06720020531902678,price_only,robust_z,rolling_3y,2019
212,1,-0.5875880240911133,-0.2935463188312831,-0.3179436090746392,0.433678183909893,0.4221674314064503,0.9534883720930233,0.915192385689093,-0.4815142017792,price_only,robust_z,rolling_3y,2020
211,1,-0.0898693686194465,-0.025832602064004086,-0.038916212107663425,0.14803222053680937,0.1363252546774647,0.627906976744186,0.20166069423665686,-0.053628473699847495,price_only,robust_z,rolling_3y,2021
