feature_set,forward_window,regression_bucket,observations,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
financial_price_macro,fwd_6m_return,all,472,-0.26704645976648655,0.42983489931530294,0.20721726097075388,0.3471448844114487,0.1738722215586547,0.7473684210526316,0.04179649510690391,0.3053483893045448
financial_price_sector,fwd_6m_return,all,472,0.1662407318478979,0.45130137274400756,0.3383530009478708,0.40820411817844293,0.2718656437280373,0.8421052631578947,0.018689581023681328,0.3895145371547616
financial_price_sector_macro,fwd_6m_return,all,472,-0.40443891276839583,0.3966677575102989,0.1732896273541853,0.3414449707455733,0.1577621761833736,0.7473684210526316,0.061505478356640504,0.2799394923889328
growth_quality_only,fwd_6m_return,all,472,-0.008355383843771769,0.015553005654513436,-0.06309754570665228,0.16832423821446355,0.0473077384564075,0.6105263157894737,0.18026763525507247,-0.011943397040608927
growth_quality_price,fwd_6m_return,all,472,0.11845526357294178,0.41050962250262324,0.2549250821484188,0.2995629635032426,0.1347099928090396,0.7263157894736842,0.024605790541542293,0.2749571729617003
financial_only,fwd_6m_return,large_cap,213,-0.022973925791087924,0.16775966574269494,0.06731929538947407,0.3472073890859537,0.1249430408779035,0.7209302325581395,0.24492161565476844,0.10228577343118528
financial_plus_price,fwd_6m_return,large_cap,213,0.06061956893839715,0.281543162555896,0.2544276414970159,0.46496484120956744,0.3829489592662187,0.8837209302325582,0.20078706747635472,0.2641777737332127
financial_price_macro,fwd_6m_return,large_cap,213,-0.25187874751797334,0.2134927192573387,0.12831157284032177,0.4115999441846627,0.173271835092603,0.7674418604651163,0.17560284207208704,0.23599710211257569
financial_price_sector,fwd_6m_return,large_cap,213,0.011795679436251372,0.2053420243966246,0.1389898197153295,0.4440462974661799,0.173271835092603,0.8604651162790697,0.20398013393035822,0.2400661635358217
financial_price_sector_macro,fwd_6m_return,large_cap,213,-0.2791944783998548,0.18731650644461156,0.06247500875469711,0.3886207428274187,0.1411012246978578,0.7906976744186046,0.165007003201261,0.22361373962615771
growth_quality_only,fwd_6m_return,large_cap,213,-0.036754235534594004,0.08681358854477372,0.0016329688335791335,0.3333508588597893,0.1272632865318037,0.7441860465116279,0.24562322914439352,0.0877276297153958
