observations,test_years,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean,training_mode,feature_set,test_year
207,1,-0.17160499556111541,0.007118645117424103,-0.0884785855765172,0.17070321481616044,0.0822942175720612,0.5714285714285714,0.16735862564781578,0.0033445891683446527,rolling_5y,financial_plus_price,2018
207,1,-0.1546167063795283,-0.013340893149648848,-0.06956846446082411,0.2033783941361775,0.12938448805267694,0.6666666666666666,0.19479580860003579,0.008582585536141718,rolling_5y,price_only,2018
211,1,-0.3249729743024634,0.2754582174162713,0.2809060566759819,0.08070383949858025,0.1404183441058331,0.627906976744186,-0.12810476443652968,0.20880860393510992,expanding,financial_only,2019
211,1,-0.13154279926405588,0.35087621606455466,0.35220423857641064,0.09856447292454797,0.1404183441058331,0.6046511627906976,-0.22060127938230092,0.3191657523068489,expanding,financial_plus_price,2019
211,1,-0.2465482491689328,0.260548382633436,0.21455270116631112,0.13365583002848314,0.1641579876252561,0.6511627906976745,-0.08395882581411528,0.21761465584259843,expanding,price_only,2019
211,1,-0.6755306767123304,0.20599535733421107,0.24373610573962542,0.08946984671692605,0.1296472918129867,0.6046511627906976,-0.128562753476463,0.21803260019338905,rolling_3y,financial_only,2019
211,1,-0.5320302760014406,0.3141131854361198,0.31480819100420276,0.08436946418164147,0.1641579876252561,0.6046511627906976,-0.15409591049545127,0.23846537467709272,rolling_3y,financial_plus_price,2019
211,1,-0.6602349142316808,0.24239667144393093,0.18248617161252412,0.06404843373956791,0.070050716107723,0.5813953488372093,-0.07319902098207687,0.1372474547216448,rolling_3y,price_only,2019
211,1,-0.3249729743024634,0.2754582174162713,0.2809060566759819,0.08070383949858025,0.1404183441058331,0.627906976744186,-0.12810476443652968,0.20880860393510992,rolling_5y,financial_only,2019
211,1,-0.13154279926405588,0.35087621606455466,0.35220423857641064,0.09856447292454797,0.1404183441058331,0.6046511627906976,-0.22060127938230092,0.3191657523068489,rolling_5y,financial_plus_price,2019
211,1,-0.2465482491689328,0.260548382633436,0.21455270116631112,0.13365583002848314,0.1641579876252561,0.6511627906976745,-0.08395882581411528,0.21761465584259843,rolling_5y,price_only,2019
212,1,-0.5463690562706671,0.09882762857825013,0.14733069036210444,0.7143439297867923,0.5879648773669695,0.9302325581395349,0.5629594536574063,0.151384476129386,expanding,financial_only,2020
212,1,-0.31107561428579045,0.10743488817551108,0.17361739964961906,0.6369011858476693,0.4867979827737914,0.8837209302325582,0.5554198639763432,0.08148132187132606,expanding,financial_plus_price,2020
212,1,-0.28629656361038625,0.08517529848104176,0.11351233575107084,0.8750041891566993,0.5879648773669695,0.8837209302325582,0.6415837105051305,0.23342047865156879,expanding,price_only,2020
212,1,-0.5320117850189616,0.0754235416516239,0.07890185395270059,0.7769268181330211,0.5879648773669695,0.9534883720930233,0.7125163272143746,0.06441049091864648,rolling_3y,financial_only,2020
212,1,-0.5627167260609776,0.011558102922301224,0.05258988429369024,0.828391665063391,0.7024686641779694,0.9534883720930233,0.8540723897207556,-0.025680724657364595,rolling_3y,financial_plus_price,2020
212,1,-0.547229414802064,-0.11756034857608628,-0.17021938480565948,0.6545609587820433,0.4526806569682782,0.9069767441860465,0.8095887730357919,-0.15502781425374856,rolling_3y,price_only,2020
212,1,-0.5368783682843747,0.11328351512962133,0.13055975637057785,0.7296432538870015,0.589464961779397,0.9302325581395349,0.6084076698385762,0.12123558404842527,rolling_5y,financial_only,2020
212,1,-0.2728754423208908,0.09487842430923873,0.14321284948355967,0.6413425822442751,0.4952160479738532,0.8837209302325582,0.47293101134169374,0.16841157090258135,rolling_5y,financial_plus_price,2020
212,1,-0.2558991973784146,0.06088193761377827,0.07924251221358375,0.6796659522736694,0.5099223278346738,0.9069767441860465,0.6406781533644454,0.03898779890922399,rolling_5y,price_only,2020
211,1,-0.04419730218457274,0.03117563485556113,-0.05840755049359353,0.26952698373856476,0.1584152024486482,0.6511627906976745,0.18902809485776084,0.08049888888080392,expanding,financial_only,2021
211,1,-0.09881512308696849,0.08686876816459235,0.08026979726881364,0.21781146328101877,0.1913443938786285,0.6511627906976745,0.12789499688033173,0.08991646640068704,expanding,financial_plus_price,2021
211,1,0.014511706330127105,0.2391063918795559,0.24511056322734764,0.3086025080589199,0.261330670900225,0.6744186046511628,0.07843463064948202,0.2301678774094379,expanding,price_only,2021
211,1,-0.20769515861444998,-0.1570150860292568,-0.27899371462863254,0.14171937069235288,0.0250053634334732,0.5813953488372093,0.3176972644384174,-0.1759778937460645,rolling_3y,financial_only,2021
211,1,-0.2773677788323561,-0.16946383820359662,-0.20136303828515223,0.08641946041275066,0.0264984660672802,0.5813953488372093,0.25047275134726904,-0.16405329093451837,rolling_3y,financial_plus_price,2021
211,1,-0.19856131774596886,-0.15493493562595395,-0.06059963464953182,0.15122035161968683,0.1477274287487402,0.7209302325581395,0.2734614932011898,-0.12224114158150295,rolling_3y,price_only,2021
211,1,-0.07138036941442572,0.032287840976273394,-0.05020376917891226,0.2793609378546903,0.2127739415661822,0.6744186046511628,0.18236178873287634,0.09699914912181395,rolling_5y,financial_only,2021
211,1,-0.20352563009741376,0.0099484234256963,0.005329518018420817,0.16019635789153414,0.1238196450124835,0.6511627906976745,0.17266531581186234,-0.012468957920328205,rolling_5y,financial_plus_price,2021
211,1,-0.061223592824620976,0.15252413136111848,0.1943536745825935,0.26424413790623696,0.1921307468430102,0.6744186046511628,0.07716512451565853,0.18707901339057842,rolling_5y,price_only,2021
218,1,-0.659001661866216,-0.09205744312491482,-0.031436260058026355,-0.03665961184823005,-0.02697350574836435,0.38636363636363635,-0.0024861143728034207,-0.03417349747542663,expanding,financial_only,2022
218,1,-2.121677179077362,-0.29164279432242063,-0.21521148523544464,-0.07415709280752715,-0.07662577335440075,0.29545454545454547,0.06954951319456967,-0.14370660600209684,expanding,financial_plus_price,2022
218,1,-2.2426150193237433,-0.30908094165311284,-0.1941396990390167,-0.06308644632207021,-0.06781131604776255,0.36363636363636365,0.02118027827344038,-0.08426672459551059,expanding,price_only,2022
218,1,-1.5997812891073862,-0.09060359854774214,-0.014015429134197453,-0.021583203988747312,-0.02209165657002125,0.4090909090909091,0.020490136872196772,-0.04207334086094408,rolling_3y,financial_only,2022
218,1,-3.0154279408007003,-0.2610768454052123,-0.15352392380936936,-0.09443569792490501,-0.07717557294463835,0.29545454545454547,0.05508829537747042,-0.14952399330237542,rolling_3y,financial_plus_price,2022
218,1,-3.001968167086101,-0.265879486442136,-0.15001543434207715,-0.07101394017029293,-0.07316930967177751,0.36363636363636365,0.04940468508340624,-0.12041862525369917,rolling_3y,price_only,2022
218,1,-1.0085098813324844,-0.102878809658581,-0.05018334439992601,-0.01059166260036266,-0.02209165657002125,0.4318181818181818,0.021313578097697225,-0.03190524069805989,rolling_5y,financial_only,2022
218,1,-2.5072835080391243,-0.30216118780009643,-0.2157072374612621,-0.08889905607668164,-0.0707866063528397,0.29545454545454547,0.059167439244377444,-0.1480664953210591,rolling_5y,financial_plus_price,2022
218,1,-2.560669168176648,-0.30602372630630015,-0.18115400230154127,-0.06528224845551776,-0.06500883509230346,0.36363636363636365,0.04075300257455803,-0.1060352510300758,rolling_5y,price_only,2022
224,1,0.008009557936835776,0.3403475659814957,0.16908449954209967,0.8305246103411789,0.4898987226414317,0.9555555555555556,0.3172745151996496,0.5132500951415293,expanding,financial_only,2023
224,1,0.07612558709528916,0.3555511008369435,0.34927610506085854,0.9332841195143929,0.500841631485702,0.9555555555555556,0.21063737863591142,0.7226467408784816,expanding,financial_plus_price,2023
224,1,0.058487062803663226,0.33479835712968126,0.3197010463378177,0.9305091486712922,0.500841631485702,0.9555555555555556,0.2569721011084986,0.6735370475627935,expanding,price_only,2023
224,1,-0.0036007362285930267,0.18820144207259443,0.09021943471584636,0.607345143257395,0.2827270752800526,0.8666666666666667,0.4331032560835841,0.1742418871738109,rolling_3y,financial_only,2023
224,1,0.21433014531081662,0.4714964542048801,0.23159619901772371,0.9244741646286503,0.4934927481978024,0.8888888888888888,0.28636462662912676,0.6381095379995235,rolling_3y,financial_plus_price,2023
224,1,0.20374820042503639,0.5062296340829727,0.2496220371556695,0.8560820881186446,0.4869637454359561,0.8888888888888888,0.2649993589983679,0.5910827291202767,rolling_3y,price_only,2023
224,1,0.041532426413016466,0.31967135702009714,0.10286838107740627,0.772383337242984,0.3896699573336442,0.9333333333333333,0.30592069570635677,0.46646264153662725,rolling_5y,financial_only,2023
224,1,0.12306019453883932,0.41510649308984665,0.29787956438180657,0.9184863793253929,0.500841631485702,0.9333333333333333,0.2468518868181471,0.6716344925072458,rolling_5y,financial_plus_price,2023
224,1,0.09609586390605163,0.40715054356263813,0.2910452701259877,0.9078743874184728,0.4898987226414317,0.9555555555555556,0.2796171677607384,0.6282572196577344,rolling_5y,price_only,2023
224,1,0.02677241402247077,0.17890053225763372,-0.03517244158991199,0.2804380814428105,0.1177785948091811,0.5777777777777777,0.17276331868266023,0.10767476276015028,expanding,financial_only,2024
224,1,0.005707042337799062,0.1978183584910598,-0.03229446935724963,0.3728383421474048,0.1367390919941646,0.6222222222222222,0.1946753482823588,0.178162993865046,expanding,financial_plus_price,2024
224,1,-0.0042273293915651156,0.16789581371427606,0.02863335468716635,0.34390831766810775,0.1221709869690179,0.6222222222222222,0.17052663328603912,0.17338168438206863,expanding,price_only,2024
224,1,-0.09239176334939114,0.0436344588050399,-0.14550025237568648,0.21344450324933548,0.1177785948091811,0.6444444444444445,0.2587526829923258,-0.04530817974299031,rolling_3y,financial_only,2024
224,1,-0.10536945607158943,-0.004587619958392671,-0.08312299807815504,0.22535107222762096,0.1012638608818961,0.6888888888888889,0.24950462045847874,-0.024153548230857774,rolling_3y,financial_plus_price,2024
224,1,-0.08655499816002266,-0.001078156755495313,-0.025422805893657918,0.25276399116848436,0.1666152902896893,0.7333333333333333,0.23703188889906276,0.015732102269421594,rolling_3y,price_only,2024
