observations,total_return,annual_return,annual_std,sharpe,average_daily_return,average_daily_turnover,max_drawdown,hit_rate,year,portfolio
251,-0.34702752025303607,-0.3481353846312848,0.2259377547135552,-1.540846438315067,-0.001595206270940188,0.0813058852691436,-0.35831921213407847,0.43824701195219123,2022,spy_sector_credit_overlay_vt30
250,0.48219459632695294,0.48686818022673095,0.19289307333213582,2.524031432629049,0.0016486683983391822,0.013478960730297633,-0.12529901838839974,0.56,2023,base_top20_equal
250,0.3911643092250343,0.3948434089065216,0.20509187601115786,1.9252025803549646,0.0014045035361926383,0.03626898665802409,-0.14193708629643687,0.56,2023,spy_trend_overlay
250,0.46295606173905623,0.46741560442978236,0.2001516693587044,2.3353070495360067,0.0016020464206258273,0.032873386269108205,-0.13689345139973963,0.556,2023,sector_trend_overlay
250,0.30473882861084434,0.30751829933764196,0.19955678969090307,1.5410064464053683,0.0011433113164843788,0.08532851567071678,-0.1570782376805241,0.556,2023,spy_sector_credit_overlay
250,0.3633859739253984,0.3667710533987649,0.25665683864831185,1.429032849194168,0.0013709080996544614,0.12185721153586783,-0.1814348533950949,0.556,2023,spy_sector_credit_overlay_vt25
250,0.4304697544575926,0.434572525317068,0.2932339575777458,1.4819993185879532,0.0016030976313641805,0.13545844209173433,-0.21537752809537158,0.556,2023,spy_sector_credit_overlay_vt30
252,0.16742842220692955,0.16742842220692955,0.17917600664279895,0.9344355047532167,0.0006781025473655685,0.014570306236972912,-0.1369026936571227,0.5634920634920635,2024,base_top20_equal
252,0.15415966125876013,0.15415966125876013,0.19458323066559977,0.7922556364771772,0.0006442205632156045,0.021854056437389774,-0.1530813072967686,0.5634920634920635,2024,spy_trend_overlay
252,0.16848305905587924,0.16848305905587924,0.20975402628652345,0.8032411202716644,0.0007054027922381636,0.027392888973771345,-0.15798803578654963,0.5634920634920635,2024,sector_trend_overlay
252,0.1407442940224568,0.1407442940224568,0.19186075463829452,0.7335752133769878,0.0005957539669439295,0.0494826620588086,-0.13170507017124577,0.5634920634920635,2024,spy_sector_credit_overlay
252,0.1511548851094242,0.1511548851094242,0.26725603695916544,0.5655808071887238,0.0007008029604960982,0.07996550137297226,-0.19371137029074514,0.5634920634920635,2024,spy_sector_credit_overlay_vt25
252,0.19525916552187916,0.19525916552187916,0.3011190892061873,0.6484449924334689,0.0008885729868384392,0.08331275048719025,-0.2041715615902292,0.5634920634920635,2024,spy_sector_credit_overlay_vt30
250,0.354941277736025,0.35823787686647734,0.273143150707152,1.3115389345807134,0.0013620052452009569,0.011482149223325699,-0.27274462285697054,0.58,2025,base_top20_equal
250,0.29136770066671036,0.29401204569255857,0.21002117937050696,1.3999161730916665,0.0011106446763729423,0.025400317630082343,-0.2147357293464589,0.58,2025,spy_trend_overlay
250,0.3160082735298857,0.3189024912310905,0.2374035606678317,1.3432927894341475,0.001210286770739981,0.039368002012926395,-0.22658578611771618,0.588,2025,sector_trend_overlay
250,0.1773437258287578,0.17888244328706748,0.17872575999516901,1.000876668768412,0.0007166377488172538,0.05843166433925139,-0.17626431192562653,0.588,2025,spy_sector_credit_overlay
250,0.28222347121302893,0.2847760501102734,0.24635979142241984,1.1559355869967567,0.0011153974172701752,0.0882938122285727,-0.2027561331940454,0.588,2025,spy_sector_credit_overlay_vt25
250,0.2944348821212599,0.29711012494894873,0.27196130844968086,1.092472038183038,0.0011798525270243835,0.09237564160325525,-0.2387812665814958,0.588,2025,spy_sector_credit_overlay_vt30
93,0.22894671954837031,0.7482586932675097,0.31648805692894943,2.364255702184337,0.002415380811259884,0.038351254480286735,-0.13370074449023872,0.5376344086021505,2026,base_top20_equal
93,0.19766905451601602,0.6303000238749947,0.30761283136616857,2.0490043314373767,0.0021272652796664585,0.047652329749103946,-0.15295917875502874,0.5376344086021505,2026,spy_trend_overlay
93,0.2596675607578063,0.8692236686473911,0.3272671185389708,2.656006727861615,0.002695533692007494,0.061679467485919084,-0.1581670901894836,0.5483870967741935,2026,sector_trend_overlay
93,0.21937859536062088,0.7116214903640179,0.3167727018043392,2.2464735323170766,0.0023324170178509996,0.10356174547989565,-0.16670407521029584,0.5483870967741935,2026,spy_sector_credit_overlay
93,0.1235894596574767,0.37129352051412123,0.29117180986565894,1.27516987542657,0.001421507324036352,0.09619453368652917,-0.17422846282133264,0.5483870967741935,2026,spy_sector_credit_overlay_vt25
93,0.14572695018706394,0.44574200967537636,0.34940617183879075,1.275713040011878,0.0017058087888436222,0.11543344042383498,-0.20710229669967972,0.5483870967741935,2026,spy_sector_credit_overlay_vt30
