feature_set,forward_window,regression_bucket,condition,observations,mean_return,median_return,hit_rate,avg_growth,avg_trailing_6m
financial_plus_price,fwd_3m_return,mid_cap,growth30_positive_margin,15,-0.008646195190250406,-0.0161603217275067,0.4666666666666667,0.6423338869663606,0.1179490688395301
growth_quality_only,fwd_3m_return,mid_cap,growth30_positive_margin,15,-0.008646195190250406,-0.0161603217275067,0.4666666666666667,0.6423338869663606,0.1179490688395301
growth_quality_price,fwd_3m_return,mid_cap,growth30_positive_margin,15,-0.008646195190250406,-0.0161603217275067,0.4666666666666667,0.6423338869663606,0.1179490688395301
financial_only,fwd_3m_return,mid_cap,model_top_quintile,102,-0.0162814652630479,-0.00562782871020695,0.46078431372549017,-0.04969907311773799,0.17861335783086413
growth_quality_only,fwd_3m_return,mid_cap,model_top_quintile,102,-0.019884281124075687,-0.0158934164342001,0.4215686274509804,-0.06567754828818556,0.18768951159430805
financial_only,fwd_6m_return,all,growth30_positive_margin_mom,8,0.8513550980543787,0.5767813148458746,0.875,0.49789619762080056,0.8537474311273263
financial_plus_price,fwd_6m_return,all,growth30_positive_margin_mom,8,0.8513550980543787,0.5767813148458746,0.875,0.49789619762080056,0.8537474311273263
growth_quality_only,fwd_6m_return,all,growth30_positive_margin_mom,8,0.8513550980543787,0.5767813148458746,0.875,0.49789619762080056,0.8537474311273263
growth_quality_price,fwd_6m_return,all,growth30_positive_margin_mom,8,0.8513550980543787,0.5767813148458746,0.875,0.49789619762080056,0.8537474311273263
financial_plus_price,fwd_6m_return,all,growth30_model_top_half,12,0.7965768528622297,0.5767813148458746,0.9166666666666666,0.5454834300803143,0.5203164286697546
growth_quality_price,fwd_6m_return,all,growth30_model_top_half,14,0.7447291219421245,0.5767813148458746,0.8571428571428571,0.5699557277561677,0.4399454928384233
financial_only,fwd_6m_return,all,growth30_positive_margin,16,0.6774321536787872,0.5767813148458746,0.75,0.5666564716768858,0.3718744161699734
financial_plus_price,fwd_6m_return,all,growth30_positive_margin,16,0.6774321536787872,0.5767813148458746,0.75,0.5666564716768858,0.3718744161699734
growth_quality_only,fwd_6m_return,all,growth30_positive_margin,16,0.6774321536787872,0.5767813148458746,0.75,0.5666564716768858,0.3718744161699734
growth_quality_price,fwd_6m_return,all,growth30_positive_margin,16,0.6774321536787872,0.5767813148458746,0.75,0.5666564716768858,0.3718744161699734
financial_only,fwd_6m_return,all,growth30_model_top_half,16,0.5140865326565635,0.3803405592932604,0.6875,0.5632670016048581,0.2892350131573462
growth_quality_only,fwd_6m_return,all,growth30_model_top_half,16,0.5140865326565635,0.3803405592932604,0.6875,0.5632670016048581,0.2892350131573462
financial_plus_price,fwd_6m_return,all,model_top_quintile,95,0.4024936626571964,0.2738373106090608,0.8526315789473684,0.10940210671868614,0.12794690540546222
growth_quality_price,fwd_6m_return,all,model_top_quintile,95,0.2995629635032426,0.1347099928090396,0.7263157894736842,0.1114626119668171,0.20868935042307277
growth_quality_only,fwd_6m_return,all,model_top_quintile,95,0.16832423821446355,0.0473077384564075,0.6105263157894737,0.16880378305655017,0.10061264025777189
financial_only,fwd_6m_return,all,model_top_quintile,95,0.14473011422677198,0.0645480541362741,0.6526315789473685,0.1428234293751125,0.06113945511498744
financial_only,fwd_6m_return,large_cap,growth30_positive_margin_mom,5,1.3251032431590501,1.3200020835326454,1.0,0.5336745080143631,1.1801368702101231
financial_plus_price,fwd_6m_return,large_cap,growth30_positive_margin_mom,5,1.3251032431590501,1.3200020835326454,1.0,0.5336745080143631,1.1801368702101231
growth_quality_only,fwd_6m_return,large_cap,growth30_positive_margin_mom,5,1.3251032431590501,1.3200020835326454,1.0,0.5336745080143631,1.1801368702101231
growth_quality_price,fwd_6m_return,large_cap,growth30_positive_margin_mom,5,1.3251032431590501,1.3200020835326454,1.0,0.5336745080143631,1.1801368702101231
growth_quality_price,fwd_6m_return,large_cap,growth30_model_top_half,10,0.8958577516911845,0.7891793523803259,0.9,0.6350507629358295,0.15144559604853036
financial_only,fwd_6m_return,large_cap,growth30_positive_margin,12,0.8908784998680135,0.7891793523803259,0.8333333333333334,0.5838459355017988,0.42481563542905726
financial_plus_price,fwd_6m_return,large_cap,growth30_positive_margin,12,0.8908784998680135,0.7891793523803259,0.8333333333333334,0.5838459355017988,0.42481563542905726
growth_quality_only,fwd_6m_return,large_cap,growth30_positive_margin,12,0.8908784998680135,0.7891793523803259,0.8333333333333334,0.5838459355017988,0.42481563542905726
growth_quality_price,fwd_6m_return,large_cap,growth30_positive_margin,12,0.8908784998680135,0.7891793523803259,0.8333333333333334,0.5838459355017988,0.42481563542905726
financial_plus_price,fwd_6m_return,large_cap,growth30_model_top_half,9,0.726489590006307,0.76028207024719,0.8888888888888888,0.6407023263976688,0.06800173155468588
financial_only,fwd_6m_return,large_cap,growth30_model_top_half,8,0.7211091999904946,0.741433839299927,1.0,0.6856625894880952,0.3249224610486744
growth_quality_only,fwd_6m_return,large_cap,growth30_model_top_half,12,0.7073957185816623,0.741433839299927,0.8333333333333334,0.5819891258685286,0.3471285911903985
financial_plus_price,fwd_6m_return,large_cap,model_top_quintile,43,0.46496484120956744,0.3829489592662187,0.8837209302325582,0.20895672958845718,0.09777852901891101
growth_quality_price,fwd_6m_return,large_cap,model_top_quintile,43,0.4235960782786756,0.2856637363915817,0.8372093023255814,0.19906675211752686,0.13428577039989398
financial_only,fwd_6m_return,large_cap,model_top_quintile,43,0.3472073890859537,0.1249430408779035,0.7209302325581395,0.15304827235496696,0.18090843369768422
growth_quality_only,fwd_6m_return,large_cap,model_top_quintile,43,0.3333508588597893,0.1272632865318037,0.7441860465116279,0.2539281543094026,0.1672358803935464
financial_plus_price,fwd_6m_return,mid_cap,model_top_quintile,48,0.15325687713106806,0.12857485536565927,0.75,0.03971548975559774,0.049280561624858915
growth_quality_price,fwd_6m_return,mid_cap,model_top_quintile,48,0.060063070571958956,0.09407599342960465,0.6041666666666666,0.040253210092982265,0.05608464286596882
growth_quality_only,fwd_6m_return,mid_cap,model_top_quintile,48,0.05859258986446131,0.0079741791336124,0.5208333333333334,0.11453347093493975,0.033440391411251665
financial_only,fwd_6m_return,mid_cap,model_top_quintile,48,0.05486334902000617,0.007044254027525801,0.5208333333333334,0.09953954460497409,0.02188659432370965
growth_quality_only,fwd_6m_return,mid_cap,growth30_model_top_half,5,0.020220039679660705,-0.0369521081953458,0.4,0.47255143716457393,0.15993230421643365
