symbol,fiscal_period_end,total_revenue,error
NEE,2025-12-31,27412000000.0,
NEM,2022-12-31,11915000000.0,
NEM,2023-12-31,11812000000.0,
NEM,2024-12-31,18682000000.0,
NEM,2025-12-31,22669000000.0,
NET,2022-12-31,975241000.0,
NET,2023-12-31,1296745000.0,
NET,2024-12-31,1669626000.0,
NET,2025-12-31,2167937000.0,
NFLX,2022-12-31,31615550000.0,
NFLX,2023-12-31,33723297000.0,
NFLX,2024-12-31,39000966000.0,
NFLX,2025-12-31,45183036000.0,
NKE,2022-05-31,46710000000.0,
NKE,2023-05-31,51217000000.0,
NKE,2024-05-31,51362000000.0,
NKE,2025-05-31,46309000000.0,
NOC,2022-12-31,36602000000.0,
NOC,2023-12-31,39290000000.0,
NOC,2024-12-31,41033000000.0,
NOC,2025-12-31,41954000000.0,
NOW,2022-12-31,7245000000.0,
NOW,2023-12-31,8971000000.0,
NOW,2024-12-31,10984000000.0,
NOW,2025-12-31,13278000000.0,
NSC,2022-12-31,12745000000.0,
NSC,2023-12-31,12156000000.0,
NSC,2024-12-31,12123000000.0,
NSC,2025-12-31,12180000000.0,
NVDA,2023-01-31,26974000000.0,
NVDA,2024-01-31,60922000000.0,
NVDA,2025-01-31,130497000000.0,
NVDA,2026-01-31,215938000000.0,
NXPI,2022-12-31,13205000000.0,
NXPI,2023-12-31,13276000000.0,
NXPI,2024-12-31,12614000000.0,
NXPI,2025-12-31,12269000000.0,
O,2022-12-31,3343681000.0,
O,2023-12-31,4078993000.0,
O,2024-12-31,5271142000.0,
O,2025-12-31,5749377000.0,
OPEN,2022-12-31,15567000000.0,
OPEN,2023-12-31,6946000000.0,
OPEN,2024-12-31,5153000000.0,
OPEN,2025-12-31,4371000000.0,
ORCL,2022-05-31,42440000000.0,
ORCL,2023-05-31,49954000000.0,
ORCL,2024-05-31,52961000000.0,
ORCL,2025-05-31,57399000000.0,
ORLY,2022-12-31,14409860000.0,
ORLY,2023-12-31,15812250000.0,
ORLY,2024-12-31,16708479000.0,
ORLY,2025-12-31,17781992000.0,
PANW,2022-07-31,5501500000.0,
PANW,2023-07-31,6892700000.0,
PANW,2024-07-31,8027500000.0,
PANW,2025-07-31,9221500000.0,
PATH,2023-01-31,1058581000.0,
PATH,2024-01-31,1308072000.0,
PATH,2025-01-31,1429664000.0,
PATH,2026-01-31,1610572000.0,
PEP,2022-12-31,86392000000.0,
PEP,2023-12-31,91471000000.0,
PEP,2024-12-31,91854000000.0,
PEP,2025-12-31,93925000000.0,
PFE,2022-12-31,101175000000.0,
PFE,2023-12-31,59554000000.0,
PFE,2024-12-31,63627000000.0,
PFE,2025-12-31,62579000000.0,
PG,2022-06-30,80187000000.0,
PG,2023-06-30,82006000000.0,
PG,2024-06-30,84039000000.0,
PG,2025-06-30,84284000000.0,
PGR,2022-12-31,49587000000.0,
PGR,2023-12-31,62083000000.0,
PGR,2024-12-31,75343000000.0,
PGR,2025-12-31,87637000000.0,
PH,2022-06-30,15861608000.0,
PH,2023-06-30,19065000000.0,
PH,2024-06-30,19930000000.0,
PH,2025-06-30,19850000000.0,
PLD,2022-12-31,5973692000.0,
PLD,2023-12-31,8023469000.0,
PLD,2024-12-31,8201610000.0,
PLD,2025-12-31,8790127000.0,
PNC,2022-12-31,21114000000.0,
PNC,2023-12-31,21509000000.0,
PNC,2024-12-31,20809000000.0,
PNC,2025-12-31,23077000000.0,
PYPL,2022-12-31,27518000000.0,
PYPL,2023-12-31,29771000000.0,
PYPL,2024-12-31,31797000000.0,
PYPL,2025-12-31,33172000000.0,
QCOM,2022-09-30,44200000000.0,
QCOM,2023-09-30,35820000000.0,
QCOM,2024-09-30,38962000000.0,
QCOM,2025-09-30,44284000000.0,
REGN,2022-12-31,12172900000.0,
REGN,2023-12-31,13117200000.0,
REGN,2024-12-31,14202000000.0,
REGN,2025-12-31,14342900000.0,
ROST,2023-01-31,18695829000.0,
ROST,2024-01-31,20376941000.0,
ROST,2025-01-31,21129219000.0,
ROST,2026-01-31,22750559000.0,
RTX,2022-12-31,67074000000.0,
RTX,2023-12-31,68920000000.0,
RTX,2024-12-31,80738000000.0,
RTX,2025-12-31,88603000000.0,
RUN,2022-12-31,2321422000.0,
RUN,2023-12-31,2259813000.0,
RUN,2024-12-31,2037719000.0,
RUN,2025-12-31,2956997000.0,
S,2023-01-31,422179000.0,
S,2024-01-31,621154000.0,
S,2025-01-31,821461000.0,
S,2026-01-31,1001278000.0,
SBUX,2022-09-30,32250300000.0,
SBUX,2023-09-30,35975600000.0,
SBUX,2024-09-30,36176200000.0,
SBUX,2025-09-30,37184400000.0,
SCHW,2022-12-31,20762000000.0,
SCHW,2023-12-31,18837000000.0,
SCHW,2024-12-31,19606000000.0,
SCHW,2025-12-31,23921000000.0,
SEDG,2022-12-31,3110279000.0,
SEDG,2023-12-31,2976528000.0,
SEDG,2024-12-31,901456000.0,
SEDG,2025-12-31,1184444000.0,
SHAK,2022-12-31,900486000.0,
SHAK,2023-12-31,1087533000.0,
SHAK,2024-12-31,1252608000.0,
SHAK,2025-12-31,1445306000.0,
SHOP,2022-12-31,5600000000.0,
SHOP,2023-12-31,7060000000.0,
SHOP,2024-12-31,8880000000.0,
SHOP,2025-12-31,11556000000.0,
SHW,2022-12-31,22148900000.0,
SHW,2023-12-31,23051900000.0,
SHW,2024-12-31,23098500000.0,
SHW,2025-12-31,23574300000.0,
SLB,2022-12-31,28091000000.0,
SLB,2023-12-31,33135000000.0,
SLB,2024-12-31,36289000000.0,
SLB,2025-12-31,35708000000.0,
SNOW,2023-01-31,2065659000.0,
SNOW,2024-01-31,2806489000.0,
SNOW,2025-01-31,3626396000.0,
SNOW,2026-01-31,4683946000.0,
SNPS,2022-10-31,4615714000.0,
SNPS,2023-10-31,5318014000.0,
SNPS,2024-10-31,6127436000.0,
SNPS,2025-10-31,7054178000.0,
SO,2022-12-31,29279000000.0,
SO,2023-12-31,25253000000.0,
SO,2024-12-31,26724000000.0,
SO,2025-12-31,29553000000.0,
SQ,,,missing_total_revenue
SRE,2022-12-31,14439000000.0,
SRE,2023-12-31,16720000000.0,
SRE,2024-12-31,13185000000.0,
SRE,2025-12-31,13702000000.0,
SYK,2022-12-31,18449000000.0,
SYK,2023-12-31,20498000000.0,
SYK,2024-12-31,22595000000.0,
SYK,2025-12-31,25116000000.0,
TEAM,2022-06-30,2802882000.0,
TEAM,2023-06-30,3534647000.0,
TEAM,2024-06-30,4358603000.0,
TEAM,2025-06-30,5215304000.0,
TGT,2023-01-31,109120000000.0,
TGT,2024-01-31,107412000000.0,
TGT,2025-01-31,106566000000.0,
TGT,2026-01-31,104780000000.0,
TJX,2023-01-31,49936000000.0,
TJX,2024-01-31,54217000000.0,
TJX,2025-01-31,56360000000.0,
TJX,2026-01-31,60372000000.0,
TMO,2022-12-31,44915000000.0,
TMO,2023-12-31,42857000000.0,
TMO,2024-12-31,42879000000.0,
TMO,2025-12-31,44557000000.0,
TRV,2022-12-31,36896000000.0,
TRV,2023-12-31,41373000000.0,
TRV,2024-12-31,46428000000.0,
TRV,2025-12-31,48828000000.0,
TSLA,2022-12-31,81462000000.0,
TSLA,2023-12-31,96773000000.0,
TSLA,2024-12-31,97690000000.0,
TSLA,2025-12-31,94827000000.0,
TXN,2022-12-31,20028000000.0,
TXN,2023-12-31,17519000000.0,
TXN,2024-12-31,15641000000.0,
TXN,2025-12-31,17682000000.0,
UBER,2022-12-31,31877000000.0,
UBER,2023-12-31,37281000000.0,
UBER,2024-12-31,43978000000.0,
UBER,2025-12-31,52017000000.0,
ULTA,2023-01-31,10208580000.0,
ULTA,2024-01-31,11207303000.0,
ULTA,2025-01-31,11295654000.0,
ULTA,2026-01-31,12392820000.0,
UNH,2022-12-31,324162000000.0,
UNH,2023-12-31,371622000000.0,
UNH,2024-12-31,400278000000.0,
UNH,2025-12-31,447567000000.0,
UNP,2022-12-31,24875000000.0,
UNP,2023-12-31,24119000000.0,
UNP,2024-12-31,24250000000.0,
UNP,2025-12-31,24510000000.0,
UPS,2022-12-31,100338000000.0,
UPS,2023-12-31,90958000000.0,
UPS,2024-12-31,91070000000.0,
UPS,2025-12-31,88661000000.0,
UPST,2022-12-31,837760000.0,
UPST,2023-12-31,508119000.0,
UPST,2024-12-31,628834000.0,
UPST,2025-12-31,1023985000.0,
URI,2022-12-31,11642000000.0,
URI,2023-12-31,14332000000.0,
URI,2024-12-31,15345000000.0,
URI,2025-12-31,16099000000.0,
USB,2022-12-31,24184000000.0,
USB,2023-12-31,28013000000.0,
USB,2024-12-31,27335000000.0,
USB,2025-12-31,28540000000.0,
V,2022-09-30,29310000000.0,
V,2023-09-30,32653000000.0,
V,2024-09-30,35926000000.0,
V,2025-09-30,40000000000.0,
VRTX,2022-12-31,8930700000.0,
VRTX,2023-12-31,9869200000.0,
VRTX,2024-12-31,11020100000.0,
VRTX,2025-12-31,12001300000.0,
WDAY,2023-01-31,6216000000.0,
WDAY,2024-01-31,7259000000.0,
WDAY,2025-01-31,8446000000.0,
WDAY,2026-01-31,9552000000.0,
WFC,2022-12-31,74368000000.0,
WFC,2023-12-31,82597000000.0,
WFC,2024-12-31,82296000000.0,
WFC,2025-12-31,83699000000.0,
WING,2022-12-31,357521000.0,
WING,2023-12-31,460055000.0,
WING,2024-12-31,625807000.0,
WING,2025-12-31,696853000.0,
WM,2022-12-31,19698000000.0,
WM,2023-12-31,20426000000.0,
WM,2024-12-31,22063000000.0,
WM,2025-12-31,25204000000.0,
