symbol,fiscal_period_end,total_revenue,error,prior_revenue,revenue_growth_yoy,availability_date,trade_date,trade_close,reporting_lag_days,fwd_3m_return,fwd_3m_return_end_date,fwd_6m_return,fwd_6m_return_end_date,fwd_12m_return,fwd_12m_return_end_date
GILD,2023-12-31,27116000000.0,,27281000000.0,-0.006048165389831772,2024-03-30,2024-04-01,68.42356872558594,90,-0.04662819981325572,2024-07-01,0.17537459800584587,2024-09-30,0.5929011528682775,2025-04-02
GOOGL,2023-12-31,307394000000.0,,282836000000.0,0.0868277022726951,2024-03-30,2024-04-01,154.2154083251953,90,0.17821098382541978,2024-07-01,0.0692692670704993,2024-09-30,0.01479697399566482,2025-04-02
GS,2023-12-31,46254000000.0,,47365000000.0,-0.02345613849889161,2024-03-30,2024-04-01,396.3731994628906,90,0.12806446573650532,2024-07-01,0.2117072236311337,2024-09-30,0.39179697632271737,2025-04-02
HCA,2023-12-31,64968000000.0,,60233000000.0,0.07861139242607873,2024-03-30,2024-04-01,325.29681396484375,90,-0.043557350624232716,2024-07-01,0.23565026531696276,2024-09-30,0.0596848243500574,2025-04-02
HON,2023-12-31,33009000000.0,,35466000000.0,-0.06927761800033838,2024-03-30,2024-04-01,181.53091430664062,90,0.04978418584477695,2024-07-01,0.034312643473334514,2024-09-30,0.09187984005796501,2025-04-02
IBM,2023-12-31,61860000000.0,,60530000000.0,0.02197257558235588,2024-03-30,2024-04-01,177.88990783691406,90,-0.06843916548645235,2024-07-01,0.18646912090064038,2024-09-30,0.36114790688402576,2025-04-02
ICE,2023-12-31,9903000000.0,,9636000000.0,0.027708592777085927,2024-03-30,2024-04-01,133.84860229492188,90,0.0025862122034649992,2024-07-01,0.17947760930297663,2024-09-30,0.25859443026153284,2025-04-02
INTC,2023-12-31,54228000000.0,,63054000000.0,-0.13997525930155108,2024-03-30,2024-04-01,44.060401916503906,90,-0.30446396027071465,2024-07-01,-0.46754913564042777,2024-09-30,-0.5011393771693404,2025-04-02
ISRG,2023-12-31,7124100000.0,,6222200000.0,0.1449487319597571,2024-03-30,2024-04-01,394.8699951171875,90,0.10476864696926369,2024-07-01,0.24413096737794748,2024-09-30,0.28409348409085644,2025-04-02
ITW,2023-12-31,16107000000.0,,15932000000.0,0.010984182776801354,2024-03-30,2024-04-01,252.6456298828125,90,-0.11475055479778695,2024-07-01,-0.00037216023980601864,2024-09-30,-0.02551037047881477,2025-04-02
JNJ,2023-12-31,85159000000.0,,79990000000.0,0.06462057757219641,2024-03-30,2024-04-01,148.73165893554688,90,-0.06436986818268653,2024-07-01,0.04328829033090065,2024-09-30,0.016250998483884338,2025-04-02
JPM,2023-12-31,154952000000.0,,127727000000.0,0.21314992131655797,2024-03-30,2024-04-01,189.6156005859375,90,0.03874721485633126,2024-07-01,0.07200735065481867,2024-09-30,0.2638957022038446,2025-04-02
KKR,2023-12-31,14322870000.0,,5565056000.0,1.5737153408698852,2024-03-30,2024-04-01,98.61258697509766,90,0.04689235083710308,2024-07-01,0.3100526724655559,2024-09-30,0.2160100280464381,2025-04-02
KMB,2023-12-31,17146000000.0,,20175000000.0,-0.15013630731102845,2024-03-30,2024-04-01,119.07691955566406,90,0.07964543028578941,2024-07-01,0.12384478124509446,2024-09-30,0.14896451419656387,2025-04-02
KO,2023-12-31,45754000000.0,,43004000000.0,0.06394753976374301,2024-03-30,2024-04-01,57.25801467895508,90,0.05093950004147274,2024-07-01,0.20161587278216397,2024-09-30,0.21066886433537446,2025-04-02
LIN,2023-12-31,32854000000.0,,33364000000.0,-0.015285936938017053,2024-03-30,2024-04-01,451.5525817871094,90,-0.07139146316943734,2024-07-01,0.03538599565099121,2024-09-30,0.026432579381237664,2025-04-02
LLY,2023-12-31,34124000000.0,,28541400000.0,0.19559657199716907,2024-03-30,2024-04-01,748.7977905273438,90,0.20429761149524928,2024-07-01,0.16848344877038013,2024-09-30,0.08281642538499412,2025-04-02
LMT,2023-12-31,67571000000.0,,65984000000.0,0.024051285160038738,2024-03-30,2024-04-01,429.48541259765625,90,0.037092089759828806,2024-07-01,0.30696922942025706,2024-09-30,0.026406382319866584,2025-04-02
MA,2023-12-31,25098000000.0,,22237000000.0,0.1286594414714215,2024-03-30,2024-04-01,472.1549072265625,90,-0.08399637735583687,2024-07-01,0.03515137311192418,2024-09-30,0.15069018196728812,2025-04-02
MCD,2023-12-31,25495000000.0,,23182000000.0,0.09977568803381942,2024-03-30,2024-04-01,267.3815002441406,90,-0.1020874486121588,2024-07-01,0.10010161435918286,2024-09-30,0.13895281398043746,2025-04-02
MDLZ,2023-12-31,36016000000.0,,31496000000.0,0.143510287020574,2024-03-30,2024-04-01,65.67108154296875,90,-0.05878725179027,2024-07-01,0.06960676794103837,2024-09-30,-0.025465110065012064,2025-04-02
META,2023-12-31,134902000000.0,,116609000000.0,0.15687468377226454,2024-03-30,2024-04-01,488.0414123535156,90,0.028149139005215096,2024-07-01,0.16730436531293713,2024-09-30,0.1927552414651672,2025-04-02
MMM,2023-12-31,24610000000.0,,26161000000.0,-0.05928672451358896,2024-03-30,2024-04-01,90.26274108886719,90,0.07752340097361854,2024-07-01,0.4719361591382849,2024-09-30,0.6073777199706734,2025-04-02
MRK,2023-12-31,60115000000.0,,59283000000.0,0.014034377477523119,2024-03-30,2024-04-01,122.75999450683594,90,-0.01774841119529802,2024-07-01,-0.12204235097230043,2024-09-30,-0.31928638433928114,2025-04-02
MRNA,2023-12-31,6754000000.0,,18875000000.0,-0.6421721854304636,2024-03-30,2024-04-01,105.5999984741211,90,0.09801135060297872,2024-07-01,-0.36714012503103954,2024-09-30,-0.737500002709302,2025-04-02
MS,2023-12-31,50667000000.0,,50210000000.0,0.009101772555267784,2024-03-30,2024-04-01,87.68756866455078,90,0.06999191273937133,2024-07-01,0.13492561155830063,2024-09-30,0.31754239503853743,2025-04-02
NEE,2023-12-31,28114000000.0,,20956000000.0,0.34157281924031313,2024-03-30,2024-04-01,59.86213302612305,90,0.1100153009409146,2024-07-01,0.35103440185020873,2024-09-30,0.14336817864382212,2025-04-02
NEM,2023-12-31,11812000000.0,,11915000000.0,-0.008644565673520788,2024-03-30,2024-04-01,35.15553665161133,90,0.15015278630328122,2024-07-01,0.4831907939104234,2024-09-30,0.3683393966435733,2025-04-02
NET,2023-12-31,1296745000.0,,975241000.0,0.32966620558405557,2024-03-30,2024-04-01,95.66000366210938,90,-0.12241277718563881,2024-07-01,-0.15440104230637086,2024-09-30,0.24973864180512462,2025-04-02
NFLX,2023-12-31,33723297000.0,,31615550000.0,0.0666680478435453,2024-03-30,2024-04-01,61.430999755859375,90,0.09653107272782369,2024-07-01,0.15457997159422554,2024-09-30,0.522879365872633,2025-04-02
NOC,2023-12-31,39290000000.0,,36602000000.0,0.07343860991202678,2024-03-30,2024-04-01,456.052490234375,90,-0.07303186953256202,2024-07-01,0.12974487029113102,2024-09-30,0.10531059839153412,2025-04-02
NOW,2023-12-31,8971000000.0,,7245000000.0,0.23823326432022074,2024-03-30,2024-04-01,153.6739959716797,90,0.026797061198098104,2024-07-01,0.16400959609594867,2024-09-30,0.07243908583096381,2025-04-02
NSC,2023-12-31,12156000000.0,,12745000000.0,-0.046214201647704956,2024-03-30,2024-04-01,240.5144500732422,90,-0.1455529963638048,2024-07-01,-0.0026182635779996577,2024-09-30,-0.03208765441458461,2025-04-02
NXPI,2023-12-31,13276000000.0,,13205000000.0,0.005376751230594445,2024-03-30,2024-04-01,237.49407958984375,90,0.08261050915383117,2024-07-01,-0.017639792624353556,2024-09-30,-0.199781077499105,2025-04-02
O,2023-12-31,4078993000.0,,3343681000.0,0.21991093049845367,2024-03-30,2024-04-01,47.64092254638672,90,-0.0060684060303078935,2024-07-01,0.21456111572769876,2024-09-30,0.12988232159068835,2025-04-02
OPEN,2023-12-31,6946000000.0,,15567000000.0,-0.5537997045031156,2024-03-30,2024-04-01,2.9100000858306885,90,-0.384879756337858,2024-07-01,-0.31271479690383575,2024-09-30,-0.6529209757136683,2025-04-02
ORLY,2023-12-31,15812250000.0,,14409860000.0,0.09732155621220473,2024-03-30,2024-04-01,75.35199737548828,90,-0.10082450964341039,2024-07-01,0.01886258310984923,2024-09-30,0.2536805157516242,2025-04-02
PEP,2023-12-31,91471000000.0,,86392000000.0,0.05879016575608853,2024-03-30,2024-04-01,160.96377563476562,90,-0.05090548588756272,2024-07-01,-0.0016421583172194776,2024-09-30,-0.10926064293583737,2025-04-02
PFE,2023-12-31,59554000000.0,,101175000000.0,-0.41137632814430447,2024-03-30,2024-04-01,23.924819946289062,90,0.03339037218969887,2024-07-01,0.07471242467012384,2024-09-30,-0.05309668054264938,2025-04-02
PGR,2023-12-31,62083000000.0,,49587000000.0,0.25200153265976977,2024-03-30,2024-04-01,193.1011962890625,90,-0.0018583841429686832,2024-07-01,0.20981771746998046,2024-09-30,0.36712703515110134,2025-04-02
PLD,2023-12-31,8023469000.0,,5973692000.0,0.34313402833624496,2024-03-30,2024-04-01,119.54751586914062,90,-0.11729721471215238,2024-07-01,0.0031006427076789578,2024-09-30,-0.09184029031997021,2025-04-02
PNC,2023-12-31,21509000000.0,,21114000000.0,0.018707966278298738,2024-03-30,2024-04-01,147.69557189941406,90,-0.013838493944393293,2024-07-01,0.17867875174197678,2024-09-30,0.1475370780578129,2025-04-02
PYPL,2023-12-31,29771000000.0,,27518000000.0,0.08187368268042738,2024-03-30,2024-04-01,64.68416595458984,90,-0.11102554609229254,2024-07-01,0.19990781152268688,2024-09-30,0.03260035080216128,2025-04-02
REGN,2023-12-31,13117200000.0,,12172900000.0,0.07757395526127708,2024-03-30,2024-04-01,962.8055419921875,90,0.09048707777550824,2024-07-01,0.08452407622732383,2024-09-30,-0.35376300365283286,2025-04-02
RTX,2023-12-31,68920000000.0,,67074000000.0,0.027521841548140857,2024-03-30,2024-04-01,94.07389831542969,90,0.024436407613215305,2024-07-01,0.2534897741802533,2024-09-30,0.3918806233736405,2025-04-02
RUN,2023-12-31,2259813000.0,,2321422000.0,-0.026539336665199142,2024-03-30,2024-04-01,12.739999771118164,90,-0.14324959513754842,2024-07-01,0.41758240113039613,2024-09-30,-0.46781787035987654,2025-04-02
SCHW,2023-12-31,18837000000.0,,20762000000.0,-0.09271746459878627,2024-03-30,2024-04-01,70.2440414428711,90,0.01783930904080111,2024-07-01,-0.09793106938863105,2024-09-30,0.10126374127066207,2025-04-02
SEDG,2023-12-31,2976528000.0,,3110279000.0,-0.04300289459562956,2024-03-30,2024-04-01,70.95999908447266,90,-0.6622040639428424,2024-07-01,-0.6771420498450198,2024-09-30,-0.7628241242834406,2025-04-02
SHAK,2023-12-31,1087533000.0,,900486000.0,0.20771783237052,2024-03-30,2024-04-01,106.44999694824219,90,-0.18675432431514272,2024-07-01,-0.030436805605028594,2024-09-30,-0.1008924205887155,2025-04-02
SHOP,2023-12-31,7060000000.0,,5600000000.0,0.2607142857142857,2024-03-30,2024-04-01,78.19000244140625,90,-0.17342377240811357,2024-07-01,0.024939210734818307,2024-09-30,0.2872489881465812,2025-04-02
SHW,2023-12-31,23051900000.0,,22148900000.0,0.04076951902803305,2024-03-30,2024-04-01,332.396728515625,90,-0.12331453906986212,2024-07-01,0.13349671354398862,2024-09-30,0.05454813708733841,2025-04-02
SLB,2023-12-31,33135000000.0,,28091000000.0,0.17955928945213762,2024-03-30,2024-04-01,52.19977569580078,90,-0.15108721531603153,2024-07-01,-0.23046417172700862,2024-09-30,-0.21573221528606923,2025-04-02
SO,2023-12-31,25253000000.0,,29279000000.0,-0.1375046961986407,2024-03-30,2024-04-01,66.53560638427734,90,0.09289452817953991,2024-07-01,0.29060097202657276,2024-09-30,0.3285949761236011,2025-04-02
SRE,2023-12-31,16720000000.0,,14439000000.0,0.1579749290117045,2024-03-30,2024-04-01,67.09452056884766,90,0.05921712380630306,2024-07-01,0.19046286461335415,2024-09-30,0.05350063729409338,2025-04-02
SYK,2023-12-31,20498000000.0,,18449000000.0,0.11106293024012137,2024-03-30,2024-04-01,348.0629577636719,90,-0.048996490850284236,2024-07-01,0.02325150344220739,2024-09-30,0.07409730558361027,2025-04-02
TMO,2023-12-31,42857000000.0,,44915000000.0,-0.04581988199933207,2024-03-30,2024-04-01,573.6640014648438,90,-0.06123613682478746,2024-07-01,0.0726208600123992,2024-09-30,-0.15060553291759016,2025-04-02
TRV,2023-12-31,41373000000.0,,36896000000.0,0.12134106678230694,2024-03-30,2024-04-01,220.68838500976562,90,-0.10599691599978267,2024-07-01,0.03571719460799172,2024-09-30,0.17977431291387402,2025-04-02
TSLA,2023-12-31,96773000000.0,,81462000000.0,0.18795266504627928,2024-03-30,2024-04-01,175.22000122070312,90,0.19769432227098704,2024-07-01,0.49315148419197485,2024-09-30,0.6137427679244616,2025-04-02
TXN,2023-12-31,17519000000.0,,20028000000.0,-0.12527461553824648,2024-03-30,2024-04-01,162.4736328125,90,0.13185085245202055,2024-07-01,0.20929346258106785,2024-09-30,0.057784973373083304,2025-04-02
UBER,2023-12-31,37281000000.0,,31877000000.0,0.16952661793769797,2024-03-30,2024-04-01,76.4000015258789,90,-0.06937176630765574,2024-07-01,-0.016230338206858597,2024-09-30,-0.024869129423188863,2025-04-02
