symbol,fiscal_period_end,error,total_revenue,gross_profit,operating_income,net_income,ebitda,research_development,selling_general_admin,operating_cash_flow,capital_expenditure,free_cash_flow,total_assets,total_debt,stockholders_equity,cash,current_assets,current_liabilities
AEP,2025-12-31,,21876000000.0,13346000000.0,5385000000.0,3580000000.0,9239000000.0,,,6944000000.0,-8583000000.0,-1639000000.0,114460000000.0,49508000000.0,31138000000.0,197000000.0,6052000000.0,13314000000.0
AI,2022-04-30,,252759000.0,189046000.0,-196122000.0,-192065000.0,-190932000.0,150544000.0,234624000.0,-86462000.0,-4291000.0,-90753000.0,1170882000.0,3613000.0,989477000.0,339528000.0,1060436000.0,150169000.0
AI,2023-04-30,,266795000.0,180458000.0,-290493000.0,-268839000.0,-284405000.0,210660000.0,260291000.0,-115691000.0,-71518000.0,-187209000.0,1103028000.0,2339000.0,929665000.0,284829000.0,888879000.0,136039000.0
AI,2024-04-30,,310582000.0,178560000.0,-318342000.0,-279696000.0,-305623000.0,201365000.0,295537000.0,-62362000.0,-28006000.0,-90368000.0,1038225000.0,3226000.0,873353000.0,167146000.0,904394000.0,102335000.0
AI,2025-04-30,,389056000.0,235863000.0,-324424000.0,-288702000.0,-311817000.0,226391000.0,333896000.0,-41407000.0,-3039000.0,-44446000.0,1025882000.0,4795000.0,838303000.0,164358000.0,904252000.0,131884000.0
AMAT,2021-10-31,,,,,,,,,,,,,,,,,
AMAT,2022-10-31,,25785000000.0,11993000000.0,7784000000.0,6525000000.0,8271000000.0,2771000000.0,1438000000.0,5399000000.0,-787000000.0,4612000000.0,26726000000.0,5829000000.0,12194000000.0,1995000000.0,15925000000.0,7379000000.0
AMAT,2023-10-31,,26517000000.0,12384000000.0,7654000000.0,6856000000.0,8469000000.0,3102000000.0,1628000000.0,8700000000.0,-1106000000.0,7594000000.0,30729000000.0,5999000000.0,16349000000.0,6132000000.0,19147000000.0,7372000000.0
AMAT,2024-10-31,,27176000000.0,12897000000.0,7867000000.0,7177000000.0,8791000000.0,3233000000.0,1797000000.0,8677000000.0,-1190000000.0,7487000000.0,34409000000.0,6606000000.0,19001000000.0,8022000000.0,21220000000.0,8468000000.0
AMAT,2025-10-31,,28368000000.0,13808000000.0,8470000000.0,6998000000.0,9975000000.0,3570000000.0,1768000000.0,7958000000.0,-2260000000.0,5698000000.0,36299000000.0,7050000000.0,20415000000.0,7241000000.0,20881000000.0,7999000000.0
AMD,2021-12-31,,,,,,,,,,,,,,,,,
AMD,2022-12-31,,23601000000.0,10603000000.0,1264000000.0,1320000000.0,5534000000.0,5005000000.0,2336000000.0,3565000000.0,-450000000.0,3115000000.0,67580000000.0,2863000000.0,54750000000.0,4835000000.0,15019000000.0,6369000000.0
AMD,2023-12-31,,22680000000.0,10460000000.0,401000000.0,854000000.0,4051000000.0,5872000000.0,2318000000.0,1667000000.0,-546000000.0,1121000000.0,67885000000.0,3003000000.0,55892000000.0,3933000000.0,16768000000.0,6689000000.0
